#timestamp x y z qx qy qz qw
1742543238.631632 0.000000 -0.000000 -0.000000 0.031830 -0.065632 -0.000530 0.997336
1742543282.923126 -0.001194 -0.112115 -0.018682 0.031070 -0.066468 0.005511 0.997289
1742543284.158737 -0.005793 -0.002559 -0.026664 0.030755 -0.067736 0.000845 0.997229
1742543285.928598 -0.048706 0.121985 0.024874 0.031592 -0.064630 -0.003618 0.997403
1742543288.048948 -0.000556 0.001571 -0.005998 0.031556 -0.066922 0.002772 0.997255
1742543364.932851 0.021193 -0.120612 -0.013596 0.031206 -0.067351 0.008789 0.997203
1742543368.254472 0.007430 -0.001337 -0.003746 0.031167 -0.066963 0.004447 0.997259
1742543386.096049 0.001903 -0.160368 0.031090 0.030560 -0.063925 0.010685 0.997429
1742543387.214043 0.130831 -0.133951 0.097657 0.118381 -0.108894 -0.034895 0.986362
1742543388.282553 0.743440 -0.177425 0.085967 0.116100 -0.145698 -0.070764 0.979941
1742543389.351498 1.206602 -0.039111 -0.303663 0.006209 -0.046001 0.018193 0.998756
1742543390.503754 1.190185 0.075884 -0.399653 0.001151 -0.044152 0.001218 0.999023
1742543425.953891 1.186767 0.075051 -0.450841 0.065318 -0.041817 0.015469 0.996868
1742543427.039166 1.271093 0.100263 -0.258956 0.005387 -0.074031 -0.020939 0.997022
1742543428.057594 1.241446 0.188016 0.096404 0.022814 -0.060895 -0.016843 0.997741
1742543429.159631 1.325034 -0.068324 0.321592 0.035991 -0.073699 -0.008420 0.996595
1742543430.378329 1.352582 -0.529773 0.426048 0.020138 -0.072011 0.007471 0.997173
1742543431.614003 1.325874 -0.867846 0.564826 0.010338 -0.053007 0.012432 0.998463
1742543432.651227 1.537529 -0.949364 0.608512 0.015235 -0.065043 -0.016986 0.997622
1742543433.667438 1.707741 -0.979301 0.617732 0.011853 -0.059839 -0.093382 0.993760
1742543434.669199 1.873159 -1.038552 0.629903 0.012104 -0.050531 -0.157683 0.986122
1742543435.724988 2.074785 -1.168046 0.648634 0.000184 -0.060615 -0.179928 0.981811
1742543436.772848 2.350483 -1.236798 0.685720 0.005953 -0.053593 -0.177966 0.982558
1742543437.958262 2.671066 -1.300330 0.609536 0.008372 -0.067901 -0.165944 0.983759
1742543438.993365 2.830884 -1.261236 0.535504 0.008681 -0.072795 -0.182370 0.980493
1742543442.683012 3.019447 -1.337721 0.547373 0.014627 -0.072898 -0.166893 0.983168
1742543445.587925 3.163746 -1.189032 0.475918 -0.001991 -0.063086 -0.197310 0.978307
1742543446.673150 3.242426 -1.072678 0.502257 -0.007318 -0.056156 -0.275615 0.959599
1742543447.875099 3.390244 -0.943948 0.553656 -0.023762 -0.047522 -0.380717 0.923164
1742543448.876792 3.593719 -0.807244 0.530449 -0.015428 -0.054031 -0.365961 0.928932
1742543450.195661 3.806890 -0.672431 0.514599 -0.029873 -0.055297 -0.470056 0.880396
1742543451.230734 3.950833 -0.534948 0.554220 -0.035435 -0.049522 -0.625354 0.777962
1742543452.282565 4.106267 -0.430600 0.617411 -0.050282 -0.026446 -0.688919 0.722608
1742543453.467868 4.485744 -0.410436 0.652148 -0.045606 -0.034785 -0.692232 0.719392
1742543454.686451 4.972303 -0.370942 0.566323 -0.040318 -0.045282 -0.628911 0.775110
1742543456.122098 5.541155 -0.313580 0.527754 -0.041724 -0.051197 -0.631440 0.772607
1742543457.123828 5.825675 -0.235302 0.534591 -0.042082 -0.049428 -0.744063 0.664949
1742543458.209061 6.004091 -0.172124 0.597212 -0.025735 -0.041717 -0.797610 0.601178
1742543459.294389 5.984802 -0.245730 0.613177 0.054678 0.025851 0.883725 -0.464083
