time(millisecond);datetime(utc);latitude;longitude;height_above_takeoff(feet);height_above_ground_at_drone_location(feet);ground_elevation_at_drone_location(feet);altitude_above_seaLevel(feet);height_sonar(feet);speed(mph);distance(feet);mileage(feet);satellites;gpslevel;voltage(v);max_altitude(feet);max_ascent(feet);max_speed(mph);max_distance(feet); xSpeed(mph); ySpeed(mph); zSpeed(mph); compass_heading(degrees); pitch(degrees); roll(degrees);isPhoto;isVideo;rc_elevator;rc_aileron;rc_throttle;rc_rudder;rc_elevator(percent);rc_aileron(percent);rc_throttle(percent);rc_rudder(percent);gimbal_heading(degrees);gimbal_pitch(degrees);gimbal_roll(degrees);battery_percent;voltageCell1;voltageCell2;voltageCell3;voltageCell4;voltageCell5;voltageCell6;current(A);battery_temperature(f);altitude(feet);ascent(feet);flycStateRaw;flycState;message
1398940;21/03/2025 08:30;-13.025.657;119.404.958;0;Available with any HD 360 subscription;Available with any HD 360 subscription;52.480.852.729.256;0;0.1342164;0;0;28;0;0;52.480.852.729.256;0;0.1342164;0;0;0;0;0;0;0;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;66;;;;;;;0;32;52.480.852.729.256;0;0;;
1399130;21/03/2025 08:30;-13.025.658;119.404.958;0;;;52.480.852.729.256;0;0.1565858;0.036484909304;0.036484909304;28;0;0;52.480.852.729.256;0;0.1565858;0.036484909304;0;0;0;187.8; 3.9; -0.8;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;66;;;;;;;0;32;52.480.852.729.256;0;0;;[logger] Opened full log file: /fs/microsd/log/2025-03-21/08_06_58.ulg
1399320;21/03/2025 08:30;-13.025.657;1.194.049.579;104.895.672.648;;;53.529.809.455.736;0;0.1342164;0.036475394868;0.08807579022;28;0;0;53.529.809.455.736;104.895.672.648;0.1565858;0.036484909304;0;0;0;187.8; 3.8; -0.8;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;66;;;;;;;0;32;53.529.809.455.736;104.895.672.648;0;;
1399520;21/03/2025 08:30;-13.025.657;119.404.958;0.22539698884;;;52.706.249.718.096;0;0.1342164;0;0.124551185088;28;0;0;53.529.809.455.736;104.895.672.648;0.1565858;0.036484909304;0;0;0;187.8; 3.9; -0.8;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;66;;;;;;;0;32;52.706.249.718.096;0.22539698884;0;;
1399720;21/03/2025 08:30;-13.025.657;1.194.049.579;-114.431.434.108;;;51.336.538.388.176;0;0.223694;0.036475394868;0.16102690804;28;0;0;53.529.809.455.736;104.895.672.648;0.223694;0.036484909304;0;0;0;187.7; 3.9; -0.8;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;66;;;;;;;0;32;51.336.538.388.176;-114.431.434.108;0;;
1399930;21/03/2025 08:30;-13.025.656;1.194.049.579;-0.32075788428;;;52.160.094.844.976;0;0.0447388;0.051590880916;0.197511817344;28;0;153.531;53.529.809.455.736;104.895.672.648;0.223694;0.051590880916;0;0;0;187.7; 3.9; -0.8;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;66;;;;;;;0;32;52.160.094.844.976;-0.32075788428;0;;
1400130;21/03/2025 08:30;-13.025.656;1.194.049.578;-169.046.265.252;;;50.790.390.076.736;0;0.0671082;0.081565947492;0.233987212212;28;0;153.531;53.529.809.455.736;104.895.672.648;0.223694;0.081565947492;0;0;0;187.7; 3.9; -0.8;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;66;;;;;;;0;32;50.790.390.076.736;-169.046.265.252;0;;
1400320;21/03/2025 08:30;-13.025.654;1.194.049.577;-114.431.434.108;;;51.336.538.388.176;0;0.111847;0.154772642748;0.31556595498;28;0;153.531;53.529.809.455.736;104.895.672.648;0.223694;0.154772642748;0;0;0;187.7; 3.9; -0.8;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;66;;;;;;;0;32;51.336.538.388.176;-114.431.434.108;0;;
1400520;21/03/2025 08:30;-13.025.655;1.194.049.577;0.77154530028;;;53.252.398.029.536;0;0.111847;0.131524938592;0.3520505362;28;0;153.531;53.529.809.455.736;104.895.672.648;0.223694;0.154772642748;0;0;0;187.7; 3.8; -0.9;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;66;;;;;;;0;32;53.252.398.029.536;0.77154530028;0;;
1400720;21/03/2025 08:30;-13.025.654;1.194.049.577;104.895.672.648;;;53.529.809.455.736;0;0.1342164;0.154772642748;0.38853675784;28;0;153.531;53.529.809.455.736;104.895.672.648;0.223694;0.154772642748;0;0;0;187.7; 3.8; -0.9;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;66;;;;;;;0;32;53.529.809.455.736;104.895.672.648;0;;
