#timestamp x y z qx qy qz qw
1743174412.632532 -0.000000 0.000000 0.000000 -0.020811 -0.179584 0.004362 0.983513
1743174414.699257 0.080736 0.006354 -0.001854 -0.013911 -0.049125 -0.002925 0.998691
1743174415.765745 0.259488 -0.000894 -0.052447 -0.006764 0.079882 -0.036853 0.996100
1743174447.467119 -0.020088 0.029034 -0.040166 -0.008365 0.080028 -0.039170 0.995988
1743174448.533709 -0.420934 0.069521 -0.009253 -0.012392 0.076749 -0.040418 0.996154
1743174449.566994 -0.709611 0.094419 0.026867 -0.015874 0.074201 -0.041911 0.996236
1743174450.600527 -1.169299 0.151681 0.039832 -0.017959 0.074690 -0.044236 0.996063
1743174451.667258 -1.488927 0.210446 0.063876 -0.021535 0.072137 -0.047381 0.996036
1743174452.800611 -1.696465 0.241971 0.087116 -0.023846 0.070850 -0.049544 0.995970
1743174453.834033 -1.807198 0.261047 0.095715 -0.024943 0.071442 -0.052329 0.995759
1743174454.967367 -2.032334 0.279802 0.104483 -0.024229 0.074079 -0.054852 0.995448
1743174456.100766 -2.675683 0.372516 0.154686 -0.021884 0.079994 -0.056353 0.994961
1743174457.300642 -3.727372 0.656990 0.187686 -0.030500 0.090632 -0.034699 0.994812
1743174458.433987 -4.403379 0.796409 0.249205 -0.017424 0.088822 -0.004539 0.995885
1743174459.467373 -4.540318 0.840948 0.269151 -0.015930 0.091792 0.003838 0.995643
1743174460.467615 -4.707705 0.896992 0.289815 -0.013766 0.091999 0.013796 0.995568
1743174472.201400 -4.206000 1.203694 0.221264 -0.008208 0.091988 0.068590 0.993361
1743174473.334743 -3.528050 1.778995 0.118593 -0.013392 0.087894 0.163790 0.982481
1743174474.468135 -3.112246 2.209906 0.087034 -0.003566 0.083991 0.226897 0.970284
1743174475.501492 -2.757160 2.694267 0.048461 -0.010930 0.074398 0.282114 0.956429
1743174476.534873 -2.247845 3.206052 -0.026619 -0.010916 0.078979 0.316412 0.945266
1743174477.601825 -1.329822 3.653297 -0.109972 -0.014086 0.084584 0.283099 0.955250
1743174478.701626 -0.302760 3.718297 -0.156610 -0.016497 0.082301 0.182629 0.979592
1743174479.768259 0.928480 3.523608 -0.247544 -0.025411 0.078487 0.057086 0.994955
1743174480.834984 1.751284 3.192090 -0.266928 -0.030317 0.080416 -0.034723 0.995695
1743174481.901758 2.635208 2.584875 -0.361027 -0.022388 0.090574 -0.142665 0.985364
1743174482.968264 3.305077 1.801202 -0.401254 -0.013594 0.089152 -0.248222 0.964496
1743174484.035451 3.822526 1.052362 -0.473775 -0.004013 0.096996 -0.324984 0.940724
1743174485.134974 4.468645 0.356898 -0.532702 0.000601 0.089802 -0.358851 0.929065
1743174486.135255 4.952913 -0.108967 -0.603908 -0.000821 0.087851 -0.358926 0.929222
1743174487.335207 5.619066 -0.623388 -0.678364 0.007739 0.082121 -0.340828 0.936500
1743174488.435109 6.274610 -0.963772 -0.744552 0.000248 0.089127 -0.308136 0.947158
1743174489.502649 6.831935 -1.210762 -0.812411 0.007792 0.090473 -0.276696 0.956658
1743174490.668743 7.849315 -1.352118 -0.874823 0.001196 0.085690 -0.192351 0.977577
1743174491.702190 8.816617 -1.214710 -0.958547 0.003987 0.083625 -0.086715 0.992709
1743174492.735485 9.939432 -0.775075 -1.056477 -0.009664 0.079923 0.035422 0.996125
1743174493.835541 11.052614 0.025119 -1.159991 -0.021145 0.073712 0.165784 0.983176
1743174494.935371 11.950055 1.009662 -1.256579 -0.039349 0.072204 0.282161 0.955837
1743174496.035605 12.819319 2.004196 -1.299569 -0.036389 0.059958 0.346956 0.935255
1743174497.068993 13.872523 2.989458 -1.342831 -0.040552 0.057375 0.354355 0.932468
1743174498.069008 15.057452 3.874230 -1.401646 -0.014830 0.066945 0.340110 0.937882
1743174499.168881 16.402979 4.777509 -1.505003 -0.000856 0.069876 0.318998 0.945175
