#timestamp x y z qx qy qz qw
1741707010.237307 -0.000000 -0.000000 0.000000 0.057864 0.087354 -0.705240 0.701183
1741707013.321819 0.040284 -0.375187 0.010149 0.090334 0.153721 -0.661465 0.728473
1741707014.351873 0.034828 -0.827347 0.010813 0.094210 0.191613 -0.639522 0.738526
1741707015.414439 0.126885 -1.531719 0.068603 0.093087 0.179359 -0.630353 0.749547
1741707016.446842 0.279757 -2.246588 0.072747 0.086703 0.158832 -0.640128 0.746653
1741707017.446871 0.401864 -3.007151 0.096902 0.070742 0.161017 -0.624674 0.760823
1741707018.447448 0.591345 -3.796548 0.087520 0.060902 0.168552 -0.608492 0.773058
1741707019.447582 0.814036 -4.606492 0.105504 0.085349 0.172391 -0.610632 0.768196
1741707020.547592 1.105801 -5.540051 0.109447 0.080922 0.176145 -0.626298 0.755099
1741707021.614232 1.403114 -6.493436 0.146211 0.083763 0.179541 -0.643938 0.738980
1741707022.614466 1.657696 -7.458671 0.179903 0.076105 0.162991 -0.647641 0.740408
1741707023.647755 1.897551 -8.406885 0.169979 0.069309 0.175773 -0.642523 0.742607
1741707024.681052 2.088768 -9.271153 0.234182 0.059356 0.147807 -0.625047 0.764163
1741707025.814361 2.310499 -10.237148 0.239602 0.039662 0.157155 -0.604807 0.779703
1741707026.847697 2.554177 -11.054494 0.239341 0.067807 0.152824 -0.623219 0.763966
1741707027.881018 2.754081 -11.880955 0.234446 0.058580 0.171331 -0.625347 0.759049
1741707028.947677 2.984218 -12.719964 0.263745 0.047227 0.149152 -0.632661 0.758461
1741707029.947721 3.126420 -13.398720 0.262671 0.057832 0.162363 -0.624188 0.762026
1741707030.981118 3.320259 -14.209374 0.292844 0.033142 0.146273 -0.609878 0.778174
1741707031.981140 3.581566 -15.044561 0.269924 0.051150 0.164714 -0.620180 0.765265
1741707032.981142 3.824315 -16.018764 0.295484 0.076533 0.153751 -0.652622 0.737962
1741707033.981157 4.084328 -16.945662 0.325554 0.090345 0.167067 -0.658481 0.728238
1741707035.047811 4.305913 -17.882599 0.311034 0.088526 0.193061 -0.639562 0.738817
1741707036.114469 4.503251 -18.841625 0.354528 0.099272 0.181562 -0.633371 0.745669
1741707037.147802 4.693241 -19.758127 0.379403 0.094310 0.184375 -0.624015 0.753470
1741707038.149009 4.923601 -20.696743 0.389455 0.095651 0.178696 -0.631055 0.748791
1741707039.183537 5.153861 -21.792505 0.365330 0.090397 0.182188 -0.640852 0.740233
1741707040.216642 5.443289 -22.793259 0.373263 0.099211 0.191788 -0.631007 0.745121
1741707041.283075 5.786856 -23.773525 0.378693 0.094689 0.195201 -0.645056 0.732689
1741707042.316156 6.065184 -24.734489 0.388516 0.101890 0.193830 -0.648297 0.729218
1741707043.349245 6.376600 -25.601889 0.427915 0.111866 0.178661 -0.667458 0.714190
1741707044.415665 6.584496 -26.558996 0.418607 0.121040 0.188587 -0.653468 0.723024
1741707045.448752 6.766098 -27.578955 0.437550 0.097253 0.171304 -0.651614 0.732527
1741707046.483906 6.924640 -28.624065 0.461197 0.103167 0.174654 -0.659203 0.724088
1741707047.483949 7.111408 -29.637102 0.476221 0.107710 0.186649 -0.630214 0.745916
1741707048.550033 7.350776 -30.643353 0.516365 0.091178 0.186553 -0.614022 0.761487
