#timestamp x y z qx qy qz qw
1743002046.788195 0.000001 -0.000000 -0.000001 0.002415 -0.066425 0.000383 0.997788
1743002067.790797 0.159422 -0.385723 0.080834 0.006487 -0.065551 0.001424 0.997827
1743002068.857319 0.690895 -0.615307 0.073191 0.025933 -0.072470 -0.095890 0.992412
1743002069.857636 0.741969 -0.627125 0.062418 0.024356 -0.093567 -0.275025 0.956563
1743002070.857700 0.604849 -0.617683 0.048207 0.000309 -0.102834 -0.357304 0.928310
1743002072.991228 0.641272 -0.580781 0.040601 -0.006061 -0.108961 -0.415121 0.903197
1743002077.258423 0.663714 -0.592308 0.045523 -0.007432 -0.085871 -0.360424 0.928798
1743002078.258709 0.876765 -0.849269 0.067348 -0.010377 -0.112150 -0.514944 0.849793
1743002079.391962 1.318570 -1.273499 0.081362 -0.028197 -0.093237 -0.716561 0.690690
1743002080.425402 1.518892 -1.516395 0.130402 -0.039338 -0.088798 -0.842071 0.530551
1743002081.458853 1.638370 -1.523896 0.150268 0.064559 0.060702 0.921669 -0.377722
1743002082.525701 1.498243 -1.535756 0.126022 0.087214 0.098059 0.856501 -0.499184
1743002083.525744 1.488939 -1.541546 0.125557 -0.070007 -0.098477 -0.815407 0.566139
1743002084.659252 1.665601 -1.381469 0.126982 0.114414 0.056372 0.955483 -0.266052
1743002085.726073 1.972580 -1.226993 0.063145 0.110060 0.009169 0.992347 -0.055238
1743002086.826117 2.224569 -1.223452 0.042002 0.116361 -0.004653 0.993150 -0.009577
1743002087.959598 2.562322 -1.278660 0.032635 0.113715 0.018992 0.986986 0.112098
1743002088.993032 2.891036 -1.345270 0.026504 0.085405 -0.011077 0.940082 0.329894
1743002090.093035 3.106572 -1.418128 -0.009000 0.074267 -0.028207 0.757468 0.648021
1743002091.126520 3.263550 -1.336294 -0.014499 0.066923 -0.047165 0.633002 0.769808
1743002092.193403 3.187753 -1.279425 0.012899 0.052865 -0.059481 0.488694 0.868818
1743002093.260128 3.114216 -1.229996 0.052972 0.048429 -0.048460 0.412990 0.908155
1743002095.460369 3.349996 -1.307817 0.020278 0.046679 -0.050870 0.521310 0.850570
1743002097.560686 3.693778 -0.746567 -0.005907 0.059842 -0.060413 0.517259 0.851594
1743002098.727266 4.169541 0.237116 -0.004295 0.070149 -0.081144 0.528575 0.842083
1743002099.794206 4.545180 1.231431 0.008839 0.068352 -0.065583 0.539500 0.836640
1743002100.827674 4.861673 2.169721 0.017963 0.057430 -0.101857 0.565991 0.816077
1743002101.894512 5.227386 3.114423 0.000578 0.053254 -0.089425 0.555222 0.825164
1743002102.894567 5.664531 3.996452 -0.065782 0.057184 -0.041865 0.547600 0.833733
1743002103.928021 6.124880 4.968847 -0.081084 0.062443 -0.045639 0.559092 0.825490
1743002104.994862 6.576417 5.997671 -0.105488 0.035525 -0.041390 0.572137 0.818343
1743002106.094931 7.009736 6.929910 -0.071369 0.048289 -0.034807 0.564560 0.823243
1743002107.128407 7.420498 7.908405 -0.102869 0.046320 -0.039437 0.564001 0.823530
1743002108.161844 7.817732 9.002057 -0.130576 0.039434 -0.042858 0.566424 0.822054
1743002109.195284 8.177665 10.126991 -0.145100 0.046138 -0.043840 0.544672 0.836231
1743002110.295251 8.493870 11.181065 -0.135480 0.048386 -0.046639 0.558936 0.826483
1743002111.328687 8.831993 12.098840 -0.159729 0.045450 -0.035300 0.548930 0.833885
1743002112.328988 9.197366 12.993128 -0.186588 0.036847 -0.037023 0.561837 0.825597
1743002113.362352 9.547359 13.931891 -0.211857 0.038229 -0.036307 0.566255 0.822542
1743002114.362723 9.896767 14.881262 -0.197452 0.039015 -0.035133 0.578596 0.813923
1743002115.396019 10.212230 15.834805 -0.189080 0.037718 -0.025375 0.568554 0.821389
1743002116.496205 10.622028 16.856134 -0.178028 0.040181 -0.027746 0.561367 0.826125
1743002117.631273 11.038629 17.871983 -0.176155 0.040490 -0.037375 0.565947 0.822598
1743002118.663001 11.413214 18.831768 -0.173367 0.054708 -0.041769 0.570278 0.818563
1743002119.696450 11.743030 19.763744 -0.178251 0.047695 -0.049947 0.553866 0.829737
1743002120.796456 12.092562 20.723522 -0.191055 0.044426 -0.037591 0.491834 0.868742
1743002121.829870 12.707733 21.382999 -0.141005 0.033824 -0.035094 0.259188 0.964596
1743002122.834177 13.566802 21.651102 -0.121691 0.013469 -0.022071 0.053918 0.998211
1743002123.996778 14.724116 21.629717 -0.127159 0.013508 -0.033601 -0.083767 0.995827
1743002125.063736 15.734163 21.418297 -0.116312 -0.004183 -0.048770 -0.124771 0.990977
1743002126.063932 16.719439 21.213484 -0.132489 -0.001907 -0.050315 -0.109771 0.992681
1743002127.064023 17.708008 20.878466 -0.140127 0.012555 -0.029705 -0.142684 0.989243
1743002128.097454 18.669851 20.396713 -0.136498 0.016388 -0.031325 -0.144324 0.988899
1743002129.164024 19.637836 19.907099 -0.139550 0.013431 -0.034822 -0.128980 0.990945
1743002130.197477 20.601799 19.539078 -0.143482 0.015343 -0.049203 -0.153416 0.986817
1743002131.197664 21.525490 19.272871 -0.143009 0.008839 -0.059295 -0.168672 0.983847
1743002132.264387 22.518305 18.955980 -0.127552 0.006234 -0.052768 -0.181015 0.982044
1743002133.264575 23.470842 18.653517 -0.130573 0.005048 -0.040277 -0.181646 0.982526
1743002134.297935 24.424282 18.306498 -0.139878 -0.009229 -0.046155 -0.164686 0.985222
