#timestamp x y z qx qy qz qw
1741706767.196545 -0.000000 0.000000 0.000000 0.041920 -0.547801 0.835499 0.009941
1741706770.315725 -0.026737 -0.108188 -0.009181 -0.034987 -0.593539 0.803853 0.017555
1741706771.378070 -0.084551 -0.149987 -0.029541 -0.078698 -0.617377 0.776398 0.099289
1741706772.441569 -0.116368 -0.137195 -0.027265 -0.106393 -0.597703 0.779273 0.155453
1741706773.507530 -0.134946 -0.151570 -0.024718 -0.211108 -0.570692 0.761535 0.223179
1741706774.573955 -0.162453 -0.167558 -0.019310 -0.359681 -0.550337 0.697459 0.285148
1741706775.640565 -0.194457 -0.174852 -0.011434 -0.478338 -0.509638 0.627776 0.342578
1741706776.640844 -0.162834 -0.129849 -0.055365 -0.352604 -0.601550 0.653922 0.293589
1741706777.707433 -0.104359 -0.150289 -0.020235 0.070824 0.706593 -0.704046 0.005534
1741706778.807380 -0.039204 -0.134854 -0.034121 0.026874 -0.694687 0.714590 -0.077777
1741706780.841477 -0.025868 -0.145908 -0.074061 -0.119335 0.706579 -0.689506 0.105295
1741706781.874807 -0.059056 -0.120353 -0.064681 -0.121707 0.698596 -0.681363 0.181372
1741706782.908146 -0.034552 -0.096708 -0.064507 -0.194509 0.678059 -0.666581 0.240979
1741706783.908174 -0.041617 -0.085039 -0.045077 0.190223 -0.643249 0.695743 -0.256881
1741706784.941540 -0.052733 -0.127255 -0.065083 -0.274276 0.669391 -0.608853 0.325555
1741706786.944077 -0.044731 -0.138688 -0.066018 -0.191466 0.692237 -0.659811 0.220902
1741706789.043620 -0.025233 -0.177192 -0.070685 -0.287866 0.668908 -0.598561 0.333796
1741706790.076727 0.027427 -0.144034 -0.086492 -0.302455 0.700453 -0.550948 0.338147
1741706791.143094 0.039933 -0.146300 -0.067629 -0.317514 0.642668 -0.592996 0.366768
1741706793.242556 0.145003 -0.827073 0.027459 -0.322544 0.650674 -0.615826 0.305528
1741706794.308930 0.858062 -1.357035 -0.001581 -0.452566 0.640464 -0.475198 0.398970
1741706795.343750 1.257485 -1.077560 -0.207923 0.767922 -0.479476 0.171241 -0.388684
1741706796.377382 0.938070 -0.798909 -0.221768 0.868070 0.027845 -0.159168 -0.469408
1741706797.410161 0.725264 -0.722487 0.032369 -0.688984 -0.230199 0.336562 0.599196
1741706798.476283 0.735307 -0.707037 0.322854 -0.587768 -0.324568 0.411386 0.616398
1741706799.542374 0.147523 -0.647735 0.191032 -0.635220 -0.375980 0.450004 0.502624
1741706800.575170 -0.302362 -0.157451 0.079790 -0.841584 0.095465 0.160127 0.506935
1741706801.607953 -0.271304 -0.090078 0.059855 -0.663623 0.497083 -0.169103 0.532839
1741706802.642323 -0.492799 -0.407508 0.078826 -0.383832 0.731871 -0.382892 0.412833
1741706803.675429 -0.780732 -0.675865 0.124177 -0.269104 0.738110 -0.532658 0.314726
1741706804.708512 -0.792197 -0.640733 0.099775 -0.253530 0.744525 -0.554622 0.271660
1741706805.741671 -0.292868 -0.577536 0.092411 -0.345211 0.691042 -0.536695 0.339482
1741706806.808099 -0.047453 -0.574569 -0.000811 -0.295133 0.768683 -0.508193 0.252512
1741706807.874479 0.721299 -0.973858 -0.073156 -0.316240 0.830619 -0.395837 0.231035
1741706808.907546 1.285453 -1.239032 -0.174117 -0.500832 0.778412 -0.282980 0.251326
1741706809.940609 1.578038 -1.069207 -0.011660 0.628344 -0.527223 0.289669 -0.493266
1741706810.974137 1.530852 -1.159313 -0.015144 0.727436 -0.457097 0.175255 -0.480817
1741706812.008350 1.198669 -0.951823 -0.191798 0.888663 -0.106554 -0.041569 -0.444069
1741706813.075001 1.126508 -0.950832 -0.166090 0.879620 0.037681 -0.143148 -0.452060
1741706814.108312 0.710117 -0.943049 -0.078689 -0.797779 -0.197592 0.265909 0.503784
1741706815.174949 0.211140 -0.526843 -0.031999 -0.776819 -0.249360 0.221177 0.534278
1741706816.208261 -0.424257 -0.235818 -0.072228 0.829736 0.299431 -0.168652 -0.439814
1741706817.208263 -0.760559 0.041947 -0.089442 0.884742 -0.027338 -0.022761 -0.464721
1741706818.241604 -0.904642 0.046064 -0.016984 0.820043 -0.328330 0.089816 -0.460067
1741706819.274954 -0.898444 -0.311256 -0.074379 0.701778 -0.555281 0.228866 -0.383133
1741706820.276562 -1.012764 -0.393048 -0.088867 -0.531908 0.750275 -0.288831 0.265967
1741706821.310789 -1.227401 -0.654507 -0.155077 -0.237055 0.912797 -0.304876 0.132878
1741706822.345471 -1.354841 -0.738678 -0.127571 0.048961 0.938243 -0.341260 0.029051
1741706823.379290 -1.418598 -0.738830 -0.057074 0.134412 0.890266 -0.435127 0.004878
1741706824.445400 -1.447888 -0.744648 0.017782 0.135656 0.834565 -0.532778 -0.035301
1741706825.511497 -1.454456 -0.754558 0.055602 0.140124 0.778446 -0.608441 -0.064696
1741706826.644245 -1.559492 -1.102260 0.058318 0.214947 0.761221 -0.603193 -0.102464
1741706827.710401 -1.582134 -1.382343 0.026338 0.277045 0.739112 -0.590645 -0.167626
1741706829.809570 -1.524784 -0.981004 -0.014412 0.192870 0.802688 -0.553715 -0.109057
1741706835.043580 -1.462623 -0.753757 -0.012230 0.098991 0.844849 -0.524633 -0.034517
1741706842.311574 -1.208175 -0.483120 0.073458 0.218910 0.753186 -0.610600 -0.109348
1741706844.444316 -1.023043 -0.340864 0.069226 0.317271 0.725513 -0.582697 -0.182851
1741706845.476729 -1.034277 -0.118058 0.033869 0.252986 0.775124 -0.561993 -0.139087
1741706846.510051 -0.987211 -0.033149 -0.024473 0.274286 0.799187 -0.518430 -0.131518
1741706847.542930 -1.046200 0.094780 -0.076975 0.195704 0.844488 -0.493239 -0.072495
1741706848.575429 -0.863128 0.130744 -0.078074 0.091405 0.868782 -0.486679 0.002520
1741706849.609193 -0.607228 0.063392 -0.046665 -0.127971 0.847516 -0.484610 0.174624
1741706850.642203 -0.427635 -0.276759 0.009965 -0.288519 0.773061 -0.490329 0.280554
1741706851.708254 -0.511133 -0.249771 -0.003228 -0.357196 0.764908 -0.448031 0.294271
1741706852.741010 -0.146889 -0.535259 0.038654 -0.342228 0.748430 -0.475063 0.311526
1741706853.773712 0.522861 -1.063432 -0.056609 -0.379033 0.795937 -0.397195 0.255057
1741706854.809047 1.187117 -1.077096 -0.136549 -0.622725 0.637631 -0.290154 0.348498
1741706855.809747 1.501573 -1.054020 -0.202101 0.868190 -0.332926 0.110911 -0.350864
1741706856.875865 1.341524 -1.252820 -0.082179 0.889711 0.060715 -0.143167 -0.429222
1741706857.942147 1.063957 -1.110447 -0.017904 0.780386 0.292900 -0.261700 -0.486540
1741706858.976314 0.349088 -0.733895 -0.005338 0.730885 0.371959 -0.294899 -0.490396
1741706860.042724 -0.446343 -0.475758 -0.028141 0.829467 0.239288 -0.220757 -0.453864
1741706861.109303 -0.741178 -0.155096 -0.081627 0.869259 -0.131440 -0.038274 -0.475024
