#timestamp x y z qx qy qz qw
1742014735.779746 0.000000 -0.000000 0.000000 0.231855 0.279008 -0.633157 0.683747
1742014737.910747 0.055413 0.041999 0.013165 0.235153 0.251993 -0.684432 0.642460
1742014738.939953 -0.029171 -0.021434 0.115218 0.143114 0.148857 -0.778988 0.592063
1742014740.002074 -0.337989 0.099625 0.178543 0.106918 0.114176 -0.817829 0.553794
1742014741.030098 -0.404453 0.082763 0.168727 0.115425 0.104972 -0.850526 0.502259
1742014742.095549 -0.428113 0.057530 0.088346 -0.193996 -0.127034 0.877183 -0.420450
1742014743.129282 -0.721688 0.167520 0.110789 -0.190707 -0.113463 0.884655 -0.410053
1742014744.163881 -1.283256 0.146012 0.125970 -0.164579 -0.095359 0.902025 -0.387521
1742014745.164685 -1.927399 -0.023692 0.116820 -0.117932 -0.108288 0.878946 -0.449244
1742014746.198311 -2.572590 -0.384540 0.100084 0.089576 0.100416 -0.847810 0.512943
1742014747.233337 -3.348203 -0.810241 0.048911 0.083316 0.086674 -0.850709 0.511704
1742014748.270772 -4.076178 -1.292043 0.001953 0.059919 0.081927 -0.820331 0.562809
1742014749.303741 -4.677151 -2.015708 -0.077053 0.026101 0.092417 -0.766605 0.634897
1742014750.370195 -4.977075 -2.953128 -0.127987 0.006630 0.091318 -0.751795 0.653010
1742014751.436733 -5.013795 -4.044932 -0.134098 0.013334 0.088150 -0.680613 0.727199
1742014752.470186 -5.014266 -5.073115 -0.093875 0.001793 0.097387 -0.652880 0.751172
1742014753.505050 -4.822380 -6.080860 -0.083575 0.023413 0.109376 -0.656381 0.746092
1742014754.540430 -4.827337 -7.200593 0.002102 0.031522 0.092166 -0.708432 0.699026
1742014755.606941 -4.997682 -8.265070 0.053677 0.065960 0.128466 -0.713704 0.685399
1742014756.674405 -5.215436 -9.148922 0.141743 0.048542 0.148169 -0.716863 0.679557
1742014757.675766 -5.470531 -9.875723 0.254388 0.052934 0.162986 -0.712628 0.680290
1742014758.708699 -5.648263 -10.542317 0.354956 0.075368 0.142361 -0.739099 0.654053
1742014759.808271 -5.977319 -11.273440 0.405634 0.050013 0.155677 -0.730190 0.663390
1742014760.874493 -6.227679 -11.989866 0.471674 0.040841 0.155458 -0.710951 0.684626
1742014761.907417 -6.462030 -12.685240 0.514372 0.074930 0.164517 -0.709798 0.680813
1742014762.974081 -6.693565 -13.368852 0.623814 0.064879 0.150427 -0.740191 0.652135
1742014763.974922 -6.913194 -13.838983 0.705459 0.075165 0.134646 -0.720194 0.676418
1742014765.008581 -6.943420 -14.115095 0.763307 0.075228 0.137669 -0.693034 0.703627
1742014767.108365 -6.902756 -14.319083 0.723773 0.089296 0.179126 -0.684939 0.700570
1742014768.174921 -6.969345 -14.677418 0.913756 0.083357 0.143439 -0.705811 0.688700
1742014769.208196 -7.223396 -15.336913 0.988484 0.073484 0.096941 -0.778783 0.615385
