#timestamp x y z qx qy qz qw
1742015887.261796 -0.000574 0.000894 -0.002930 0.107009 0.177478 -0.707342 0.675809
1742015889.388942 -0.111657 0.071752 -0.000264 0.095090 0.142542 -0.809586 0.561435
1742015890.485381 -0.102271 0.385155 0.002625 -0.120087 -0.127387 0.904480 -0.388932
1742015891.514643 -0.093620 0.459759 -0.008900 -0.147607 -0.081940 0.960140 -0.222775
1742015892.581198 0.187617 0.799066 -0.044724 -0.184918 -0.091217 0.971447 -0.117366
1742015893.682006 0.425844 0.859574 -0.050598 -0.206431 -0.033687 0.977729 0.017255
1742015894.683407 0.610814 1.086673 -0.042203 -0.191319 -0.050173 0.979951 0.023982
1742015895.684442 0.540886 1.251547 -0.056958 -0.201418 -0.040405 0.973519 0.100291
1742015896.684840 0.371338 1.459506 -0.066135 -0.193023 -0.015392 0.977183 0.087282
1742015897.719341 0.274180 1.870415 -0.139199 -0.145994 -0.051110 0.987298 0.036293
1742015898.719783 0.133656 2.159820 -0.175726 -0.144358 -0.050458 0.985259 -0.076679
1742015899.720219 -0.195121 2.303610 -0.210616 -0.114621 -0.070786 0.985472 -0.103426
1742015900.720680 -0.576573 2.371189 -0.220336 -0.095602 -0.074333 0.976462 -0.178483
1742015901.754577 -1.122631 2.269370 -0.247759 -0.098909 -0.072415 0.972145 -0.199767
1742015902.755325 -1.939172 2.106419 -0.219227 -0.070397 -0.050342 0.953772 -0.287800
1742015903.791346 -2.732330 1.716792 -0.233293 -0.065426 -0.089216 0.918810 -0.378877
1742015904.791672 -3.429930 1.048212 -0.298407 -0.113978 -0.087163 0.903801 -0.403183
1742015905.791773 -4.127990 0.384230 -0.249918 -0.153483 -0.094105 0.904211 -0.387284
1742015906.825245 -5.064183 -0.219290 -0.222190 -0.110065 -0.103595 0.926751 -0.343929
1742015907.825410 -5.966506 -0.766640 -0.122856 -0.118048 -0.089370 0.938230 -0.312733
1742015908.825536 -6.853902 -1.250326 -0.029783 -0.124908 -0.101327 0.955584 -0.246962
1742015909.859471 -7.703896 -1.718610 0.157740 -0.131873 -0.061708 0.973480 -0.176460
1742015910.861748 -8.593110 -1.951485 0.234806 -0.106106 -0.102061 0.968186 -0.202340
1742015911.894985 -9.515269 -2.101304 0.297892 -0.110546 -0.117340 0.962850 -0.216636
1742015913.028179 -10.486721 -2.288673 0.371832 -0.143557 -0.130378 0.947805 -0.253097
1742015914.094731 -11.385615 -2.548302 0.439531 -0.136230 -0.100435 0.960415 -0.221261
1742015915.161289 -12.191019 -2.792608 0.607541 -0.132332 -0.083175 0.963539 -0.217169
1742015916.194522 -12.904006 -3.004370 0.782374 -0.098708 -0.107280 0.967419 -0.206998
1742015917.227793 -13.796311 -3.132271 0.808076 -0.119151 -0.093696 0.979755 -0.130781
1742015918.294407 -14.488596 -3.276581 1.077244 -0.141006 -0.099088 0.973636 -0.149442
1742015919.295232 -15.234589 -3.435731 1.235828 -0.070870 -0.124805 0.964352 -0.222323
1742015920.362686 -16.169680 -3.761212 1.323396 -0.022091 -0.092491 0.954736 -0.281844
1742015921.396239 -16.776613 -3.948978 1.676952 -0.091391 -0.076441 0.951145 -0.284829
1742015922.396404 -17.689283 -4.409207 2.010498 0.038999 -0.056921 0.956231 -0.284361
1742015923.463274 -18.399750 -4.936608 2.345408 0.078046 -0.054633 0.943508 -0.317359
1742015924.496787 -19.009747 -5.355588 2.556705 0.101942 -0.026329 0.929523 -0.353413
1742015925.497043 -19.654203 -5.860475 2.706461 0.095636 -0.042677 0.942403 -0.317661
1742015926.498492 -20.162722 -6.253463 3.037175 0.052616 -0.074251 0.954325 -0.284574
1742015927.499226 -20.704182 -6.518080 3.233455 0.049533 -0.059363 0.955775 -0.283755
1742015928.532991 -21.321012 -6.867573 3.561149 0.019964 -0.070981 0.958524 -0.275309
1742015929.533425 -21.955624 -7.090614 3.796295 0.050929 -0.058126 0.957018 -0.279543
1742015930.600564 -22.584578 -7.395056 4.171397 0.040032 -0.052123 0.968188 -0.241438
1742015931.600966 -23.034559 -7.543249 4.290168 0.051429 -0.026990 0.958602 -0.278764
1742015932.601369 -23.447025 -7.778315 4.646757 0.039970 -0.052818 0.964620 -0.255189
1742015933.604101 -23.905939 -7.921821 4.765355 0.009457 -0.051022 0.958695 -0.279663
1742015934.637890 -24.471020 -8.213925 5.103030 0.003949 -0.050559 0.960885 -0.272265
