#timestamp x y z qx qy qz qw
1742015887.261796 -0.000573 0.000894 -0.002929 0.105672 0.177992 -0.707187 0.676047
1742015889.388942 -0.111838 0.071670 0.000108 0.093909 0.142728 -0.809692 0.561435
1742015890.485381 -0.102274 0.384538 0.002466 -0.118849 -0.127539 0.904843 -0.388418
1742015891.514643 -0.093300 0.458508 -0.009337 -0.146199 -0.082102 0.960586 -0.221719
1742015892.581198 0.188695 0.797218 -0.045586 -0.183759 -0.091056 0.971931 -0.115293
1742015893.682006 0.427148 0.856777 -0.052111 -0.205092 -0.032957 0.977970 0.020629
1742015894.683407 0.613684 1.082613 -0.044267 -0.190000 -0.049242 0.980137 0.028396
1742015895.684442 0.545179 1.248100 -0.058815 -0.199998 -0.038919 0.973253 0.106131
1742015896.684840 0.378099 1.458064 -0.067453 -0.191316 -0.013549 0.976852 0.094730
1742015897.719341 0.286962 1.870382 -0.140326 -0.144454 -0.049422 0.987241 0.045232
1742015898.719783 0.151526 2.162249 -0.176463 -0.142692 -0.048759 0.986320 -0.066587
1742015899.720219 -0.174384 2.312685 -0.210027 -0.113046 -0.069129 0.986939 -0.091610
1742015900.720680 -0.554137 2.389301 -0.217981 -0.093905 -0.072740 0.979166 -0.164695
1742015901.754577 -1.102902 2.302757 -0.242290 -0.097042 -0.070526 0.975534 -0.184235
1742015902.755325 -1.923868 2.165816 -0.208584 -0.068037 -0.049022 0.958808 -0.271395
1742015903.791346 -2.729630 1.803533 -0.216673 -0.063666 -0.088141 0.925960 -0.361629
1742015904.791672 -3.451638 1.161081 -0.275471 -0.112108 -0.085069 0.912197 -0.384827
1742015905.791773 -4.175380 0.525753 -0.220446 -0.151731 -0.091025 0.912752 -0.368206
1742015906.825245 -5.135687 -0.038093 -0.184489 -0.108491 -0.101172 0.934420 -0.323811
1742015907.825410 -6.059830 -0.546086 -0.077196 -0.116160 -0.086593 0.945374 -0.292021
1742015908.825536 -6.966775 -0.990327 0.023633 -0.123308 -0.098084 0.961419 -0.225498
1742015909.859471 -7.835289 -1.419917 0.218683 -0.129417 -0.057991 0.977768 -0.154463
1742015910.861748 -8.733480 -1.612319 0.302901 -0.104552 -0.098975 0.973080 -0.179966
1742015911.894985 -9.661010 -1.719722 0.373178 -0.109351 -0.114166 0.968175 -0.194027
1742015913.028179 -10.639501 -1.861746 0.454825 -0.142674 -0.126539 0.954195 -0.230531
1742015914.094731 -11.549035 -2.078760 0.529960 -0.134655 -0.096598 0.966034 -0.198279
1742015915.161289 -12.363808 -2.284185 0.704691 -0.130345 -0.079391 0.969049 -0.194040
1742015916.194522 -13.084722 -2.461259 0.885474 -0.097315 -0.104218 0.972632 -0.183451
1742015917.227793 -13.981913 -2.546090 0.918217 -0.117501 -0.089809 0.983214 -0.106853
1742015918.294407 -14.678301 -2.655962 1.192997 -0.139481 -0.094722 0.977657 -0.125537
1742015919.295232 -15.429922 -2.778162 1.357651 -0.069918 -0.122427 0.969924 -0.198419
1742015920.362686 -16.379045 -3.057489 1.453235 -0.020320 -0.091537 0.961564 -0.258075
1742015921.396239 -16.991728 -3.214315 1.811917 -0.089219 -0.073792 0.958320 -0.261184
1742015922.396404 -17.923355 -3.628110 2.153768 0.041624 -0.057474 0.962907 -0.260336
1742015923.463274 -18.656382 -4.118722 2.495782 0.080704 -0.056304 0.950967 -0.293220
1742015924.496787 -19.284939 -4.505882 2.713100 0.105302 -0.028792 0.937922 -0.329219
1742015925.497043 -19.953144 -4.976618 2.869467 0.098556 -0.044841 0.950078 -0.292623
1742015926.498492 -20.478840 -5.341491 3.205417 0.054691 -0.075140 0.961453 -0.258787
1742015927.499226 -21.032032 -5.576403 3.406668 0.051999 -0.060170 0.962919 -0.257803
1742015928.532991 -21.664125 -5.891422 3.740171 0.022117 -0.070954 0.965607 -0.249157
1742015929.533425 -22.307976 -6.079322 3.980825 0.053410 -0.058955 0.964113 -0.253295
1742015930.600564 -22.949541 -6.348193 4.361691 0.042648 -0.052497 0.974324 -0.214752
1742015931.600966 -23.405952 -6.471316 4.484373 0.054745 -0.027839 0.965721 -0.252212
1742015932.601369 -23.827896 -6.682311 4.844895 0.042555 -0.053242 0.971233 -0.228170
1742015933.604101 -24.293087 -6.799860 4.967446 0.012116 -0.050697 0.966148 -0.252668
1742015934.637890 -24.870932 -7.058995 5.310376 0.006611 -0.050039 0.968200 -0.245033
1742015935.638084 -25.328434 -7.199937 5.635133 0.023669 -0.039053 0.961206 -0.272025
1742015936.671553 -25.858065 -7.515150 5.806098 0.011756 -0.063835 0.962973 -0.261668
1742015937.705120 -26.461044 -7.784209 5.946943 -0.021689 -0.079636 0.960431 -0.266008
1742015938.738679 -27.182137 -8.143798 6.277710 -0.003927 -0.071114 0.964684 -0.253597
1742015939.772175 -27.841753 -8.350983 6.644937 0.058001 -0.049147 0.961824 -0.262898
1742015940.805677 -28.347172 -8.590942 6.864305 0.032721 -0.061935 0.948592 -0.308652
1742015941.805899 -28.716503 -8.672812 6.953599 0.060515 -0.054287 0.942838 -0.323184
1742015942.806117 -29.203959 -8.983393 7.048572 0.004788 -0.067671 0.948208 -0.310320
1742015943.839645 -29.738974 -9.189123 7.195345 0.035052 -0.084707 0.965867 -0.242276
1742015944.839823 -30.216669 -9.420641 7.447160 -0.004386 -0.058095 0.952347 -0.299400
1742015945.873392 -30.877171 -9.697659 7.634490 0.027862 -0.071718 0.958822 -0.273387
1742015946.940241 -31.638699 -10.010653 7.889597 0.021016 -0.092378 0.970136 -0.223295
1742015947.973773 -32.156693 -10.286689 8.104327 -0.016461 -0.067698 0.956018 -0.284912
1742015949.007741 -33.095768 -10.489105 8.203729 -0.011302 -0.066216 0.976630 -0.204159
1742015950.042474 -33.910492 -10.704182 8.520051 -0.010566 -0.041164 0.959230 -0.279413
1742015951.076250 -34.656357 -10.878611 8.653496 -0.014405 -0.085880 0.962055 -0.258589
1742015952.109993 -35.334072 -11.153527 8.832563 -0.018777 -0.077762 0.931664 -0.354404
1742015953.110398 -36.058853 -11.400174 8.991748 -0.003820 -0.066428 0.895323 -0.440420
1742015954.110826 -36.769611 -11.876548 9.094522 -0.014686 0.058640 -0.857284 0.511283
1742015955.177952 -37.399479 -12.529119 9.230535 0.006831 0.093849 -0.851539 0.515778
1742015956.211708 -38.024094 -13.158497 9.348211 0.006158 0.066627 -0.836948 0.543176
1742015957.245468 -38.554790 -13.882251 9.455730 0.003978 0.073474 -0.844682 0.530187
1742015958.245904 -39.077099 -14.685190 9.533153 -0.024417 0.092604 -0.858943 0.503036
1742015959.246343 -39.639065 -15.475053 9.695777 0.079442 -0.072172 0.897917 -0.426879
1742015960.280125 -40.324100 -16.035259 9.815251 0.084293 -0.060743 0.934017 -0.341785
1742015961.313925 -41.077465 -16.544071 9.869777 0.093366 -0.062901 0.949876 -0.291653
1742015962.347717 -41.716869 -17.052071 9.933038 0.026955 -0.067943 0.942688 -0.325572
1742015963.348170 -42.573399 -17.500246 10.136178 0.070862 -0.036781 0.955537 -0.283856
1742015964.381979 -43.583916 -17.793470 10.316033 0.056048 -0.040193 0.991514 -0.110196
1742015965.415778 -44.394863 -17.968281 10.571906 0.049912 -0.032550 0.994606 -0.084901
1742015966.482935 -45.430225 -18.175873 10.986670 0.088098 -0.056150 0.988090 -0.112983
1742015967.484417 -46.254261 -18.295139 11.179455 0.076219 -0.062910 0.985550 -0.137565
1742015968.520489 -47.042965 -18.582005 11.372563 0.077832 -0.053999 0.974112 -0.205263
1742015969.521176 -47.880627 -18.927830 11.619697 0.082401 -0.025345 0.962002 -0.259076
1742015970.521207 -48.634609 -19.164768 11.848176 0.101373 -0.056104 0.952048 -0.283161
1742015971.521248 -49.355637 -19.567739 12.022152 0.069967 -0.029500 0.932125 -0.354086
1742015972.554606 -49.795170 -19.621571 12.068666 0.008808 -0.078459 0.952436 -0.294335
1742015973.554643 -50.221615 -19.740673 12.206271 0.017107 -0.079642 0.941608 -0.326710
1742015974.588016 -50.537643 -19.970392 12.566357 -0.003103 -0.066089 0.960337 -0.270880
1742015975.588084 -51.106861 -20.024000 12.505509 0.025117 -0.072501 0.917119 -0.391160
1742015976.588156 -51.998161 -20.143072 12.328139 -0.029137 -0.096892 0.937517 -0.332905
1742015977.621519 -53.004440 -20.463314 12.037266 -0.038992 -0.104929 0.944053 -0.310215
1742015978.654886 -53.960743 -20.879751 11.929804 0.042076 -0.096844 0.885583 -0.452320
1742015979.654941 -54.710690 -21.502644 11.987546 -0.006617 0.075688 -0.847715 0.524983
1742015980.688307 -55.241276 -22.252943 11.907856 0.043089 0.111746 -0.824600 0.552893
1742015981.688318 -55.844654 -22.994072 11.951806 -0.036586 -0.123618 0.870473 -0.475034
1742015982.688335 -56.538074 -23.693016 11.979956 -0.004950 -0.084980 0.893616 -0.440687
1742015983.722551 -57.232998 -24.372702 11.975771 -0.033429 -0.099124 0.900167 -0.422795
1742015984.724340 -57.988049 -25.059589 11.959669 -0.037320 -0.094304 0.907613 -0.407374
1742015985.724771 -58.685463 -25.781527 11.985689 -0.045197 -0.103873 0.892046 -0.437517
1742015986.758570 -59.389271 -26.599882 11.975772 0.004664 0.138052 -0.846386 0.514345
1742015987.759037 -60.066608 -27.454487 11.980717 0.010830 0.102970 -0.834219 0.541626
1742015988.792810 -60.710793 -28.379951 11.976594 0.046399 0.138536 -0.805591 0.574176
1742015989.793225 -61.282490 -29.353924 11.978541 0.020173 0.125936 -0.810965 0.571025
1742015990.793633 -61.763092 -30.317404 11.992242 0.013424 0.107369 -0.837829 0.535102
1742015991.794062 -62.303791 -31.304289 12.051605 -0.011540 0.106887 -0.802934 0.586293
1742015992.827846 -62.752083 -32.369511 12.112393 -0.032781 0.081272 -0.750458 0.655083
1742015993.861654 -63.122684 -33.511936 12.185551 -0.006764 0.088563 -0.781816 0.617151
1742015994.862098 -63.602985 -34.592308 12.250113 0.031885 0.123555 -0.817738 0.561268
1742015995.895888 -64.092171 -35.474926 12.331491 0.034121 0.101300 -0.848268 0.518667
1742015996.896324 -64.729134 -36.243259 12.365137 -0.053797 -0.105500 0.905492 -0.407504
1742015997.896731 -65.353004 -37.093163 12.424051 0.013401 0.108025 -0.859149 0.500015
1742015998.930504 -65.892509 -37.975147 12.501254 0.008176 0.081552 -0.800915 0.593141
1742015999.930945 -66.441643 -38.918686 12.576042 0.001129 0.090119 -0.813869 0.574017
1742016000.964752 -66.800117 -39.722507 12.648333 0.012218 0.082520 -0.733123 0.674960
1742016001.998555 -67.031708 -40.613338 12.748225 0.022993 0.089798 -0.705706 0.702414
1742016003.032366 -67.079659 -41.616367 12.831444 -0.018014 0.091245 -0.668076 0.738258
1742016004.066182 -67.403175 -42.622135 12.887237 0.003861 0.092208 -0.774264 0.626098
1742016005.066627 -67.922195 -43.568073 12.881014 0.038374 0.109572 -0.846434 0.519683
1742016006.100393 -68.635941 -44.524193 12.928708 -0.020386 -0.087295 0.874979 -0.475789
1742016007.100812 -69.353943 -45.423859 12.980484 -0.013026 -0.087851 0.876755 -0.472667
1742016008.134579 -70.014130 -46.350903 12.966416 -0.012185 0.085516 -0.852947 0.514801
1742016009.168356 -70.577538 -47.344265 12.990846 0.005405 0.094243 -0.824330 0.558184
1742016010.202143 -71.166565 -48.378166 13.006950 0.018503 0.091407 -0.825823 0.556164
1742016011.202583 -71.745377 -49.379787 13.004636 -0.010524 0.095811 -0.824974 0.556891
1742016012.236382 -72.198753 -50.443226 13.032604 -0.013996 0.090651 -0.789444 0.606931
1742016013.270200 -72.721069 -51.527821 13.060442 -0.001121 0.077702 -0.824789 0.560075
1742016014.304029 -73.270927 -52.560680 13.059064 -0.008851 0.077220 -0.822303 0.563716
1742016015.304482 -73.805267 -53.512871 13.091301 -0.000899 0.106938 -0.789252 0.604686
1742016016.338274 -74.250557 -54.592522 13.095389 0.024319 0.125288 -0.768293 0.627246
1742016017.372072 -74.515160 -55.623764 12.923782 0.029492 0.144544 -0.702739 0.695985
1742016018.405864 -74.699707 -56.570889 13.066074 -0.021553 0.092635 -0.734188 0.672251
1742016019.439663 -75.090515 -57.496201 13.349547 0.004076 0.107908 -0.789155 0.604627
1742016020.473489 -75.542732 -58.404339 13.494845 0.016215 0.084345 -0.824351 0.559526
1742016021.473933 -76.074905 -59.253147 13.550090 -0.050139 -0.061722 0.884840 -0.459059
1742016022.507725 -76.698303 -59.909855 13.620887 -0.097742 -0.065754 0.924334 -0.362945
1742016023.541513 -77.595871 -60.513180 13.671670 -0.008955 -0.061601 0.960337 -0.271805
1742016024.541947 -78.282555 -61.164345 13.788260 0.008979 -0.054841 0.916057 -0.397179
1742016025.609046 -78.977272 -61.960163 13.916198 0.012439 -0.060390 0.898698 -0.434213
1742016026.642796 -79.524124 -62.894073 13.925703 -0.015010 0.057236 -0.849203 0.524742
1742016027.643219 -79.766388 -63.741375 13.955204 0.016271 0.096613 -0.779861 0.618238
1742016028.643647 -80.008675 -64.499031 14.011956 0.009746 0.111443 -0.757003 0.643764
1742016029.644136 -80.179459 -65.266029 14.099813 0.005541 0.102798 -0.744875 0.659214
1742016030.677971 -80.535782 -66.060799 14.161956 0.022034 0.093999 -0.803685 0.587171
1742016031.678413 -80.923302 -66.799553 14.277587 -0.047630 0.053171 -0.782075 0.619082
1742016032.678857 -81.235802 -67.565247 14.310470 -0.055501 0.032588 -0.761614 0.644827
1742016033.679276 -81.574860 -68.187584 14.301962 -0.052574 0.047910 -0.831465 0.551005
1742016034.679704 -81.737312 -68.554070 14.291991 -0.002796 0.059347 -0.828819 0.556353
1742016035.680171 -81.880859 -68.938286 14.499228 -0.001817 -0.068152 0.894743 -0.441347
1742016036.713968 -82.338821 -69.045288 14.584733 -0.026478 -0.077882 0.925181 -0.370505
1742016037.714389 -82.678383 -69.081673 14.380127 -0.097473 -0.047351 0.932806 -0.343700
1742016038.714828 -83.503914 -68.712990 14.216487 -0.010464 -0.076414 0.911676 -0.403606
1742016040.082130 -84.603569 -68.739929 14.173859 -0.022597 -0.142901 0.910849 -0.386553
1742016041.115922 -85.433380 -69.296852 14.132900 -0.003431 -0.141185 0.886135 -0.441384
1742016042.116339 -86.191200 -69.932907 14.065921 -0.011051 0.090324 -0.855026 0.510539
1742016043.150109 -86.825798 -70.762589 14.245777 -0.095226 0.050506 -0.845003 0.523786
1742016044.184868 -87.486374 -71.416168 14.140554 0.085718 -0.064872 0.881233 -0.460295
1742016045.186709 -88.170273 -71.967148 14.066876 0.107809 -0.037730 0.880711 -0.459675
1742016046.186928 -88.534561 -72.623940 13.923237 -0.050463 0.029477 -0.810406 0.582947
1742016047.187118 -88.834892 -73.209930 13.895179 -0.056411 0.035151 -0.784643 0.616375
1742016048.187310 -89.349670 -73.680649 13.745207 0.008221 -0.066445 0.870862 -0.486947
