#timestamp x y z qx qy qz qw
1742016755.849736 -0.000337 -0.013597 -0.009785 0.196872 0.184192 -0.678299 0.683539
1742016757.943637 -0.126893 0.010247 0.009376 0.195236 0.120616 -0.755971 0.613060
1742016759.007386 -0.487964 0.257410 0.020399 -0.184407 -0.082149 0.886638 -0.416075
1742016760.036739 -0.864535 0.488526 -0.000570 -0.183838 -0.024462 0.965561 -0.182476
1742016761.036909 -1.196283 0.811371 -0.032446 -0.189663 -0.035446 0.975823 -0.102669
1742016762.037653 -1.595748 1.009261 -0.078514 -0.187828 -0.006439 0.982088 0.013501
1742016763.072353 -2.058542 1.271551 -0.177016 -0.194553 -0.023727 0.980380 -0.021016
1742016764.106852 -2.624972 1.380410 -0.248800 -0.189743 -0.064725 0.964333 -0.172828
1742016765.107260 -3.299717 1.241435 -0.304620 -0.172730 -0.067615 0.943874 -0.273302
1742016766.141239 -3.954037 0.899732 -0.329259 -0.161973 -0.095580 0.910733 -0.367688
1742016767.141610 -4.564178 0.482029 -0.338960 -0.164699 -0.099946 0.882913 -0.428194
1742016768.142016 -5.134939 -0.092420 -0.349667 -0.182235 -0.094468 0.868797 -0.450619
1742016769.142399 -5.630735 -0.708167 -0.291050 0.149641 0.081469 -0.842404 0.511201
1742016770.176141 -6.166853 -1.323191 -0.237850 0.143255 0.084930 -0.842410 0.512456
1742016771.209866 -6.776146 -1.973744 -0.175902 -0.131146 -0.074387 0.855361 -0.495606
1742016772.276969 -7.397238 -2.676224 -0.064106 -0.156454 -0.052812 0.892980 -0.418712
1742016773.344109 -8.012087 -3.142550 0.080675 -0.143525 -0.041049 0.920424 -0.361298
1742016774.377876 -8.722994 -3.517497 0.223178 -0.130205 -0.022026 0.952003 -0.276139
1742016775.411641 -9.472375 -3.939068 0.318676 -0.095194 -0.027943 0.962363 -0.253012
1742016776.445416 -10.232597 -4.331449 0.351918 -0.065477 -0.042533 0.944357 -0.319521
1742016777.479280 -11.111066 -4.674541 0.456706 -0.067260 -0.044186 0.943477 -0.321519
1742016778.513090 -12.061774 -5.006144 0.538424 -0.039813 -0.029735 0.954814 -0.293022
1742016779.546905 -12.847486 -5.380849 0.760342 -0.045187 -0.046164 0.957966 -0.279514
1742016780.580685 -13.671008 -5.755719 0.811994 -0.065330 -0.026205 0.976316 -0.204577
1742016781.614465 -14.453608 -6.003480 0.936526 -0.058753 -0.031329 0.974733 -0.213220
1742016782.614901 -15.053144 -6.214868 1.160222 -0.077861 -0.028642 0.956504 -0.279675
1742016783.648683 -15.811529 -6.525131 1.226133 -0.079730 -0.048647 0.923302 -0.372545
1742016784.649118 -16.409027 -6.899115 1.316535 -0.090879 -0.050831 0.932644 -0.345445
1742016785.649545 -16.774849 -7.161549 1.594424 -0.100157 -0.060077 0.913893 -0.388791
1742016786.683331 -17.420811 -7.665350 1.666722 -0.076530 -0.059911 0.902601 -0.419363
1742016787.683771 -17.865452 -8.133999 1.811589 -0.079350 -0.041875 0.903705 -0.418650
1742016788.684211 -18.237741 -8.499508 2.103891 -0.088952 -0.049995 0.884577 -0.455096
1742016789.684684 -18.632555 -9.037672 2.245714 -0.048806 -0.057087 0.878669 -0.471487
1742016790.719815 -19.041561 -9.520504 2.357233 -0.053064 -0.058685 0.874336 -0.478829
1742016791.754863 -19.403997 -9.939828 2.538273 -0.058632 -0.054653 0.916799 -0.391221
1742016792.755046 -19.728449 -10.297063 2.828248 -0.089159 -0.042774 0.917683 -0.384811
1742016793.788565 -20.182610 -10.639832 2.984153 -0.063414 -0.045242 0.908887 -0.409703
1742016794.822100 -20.566830 -10.932575 3.324772 -0.082088 -0.039846 0.920841 -0.379111
1742016795.855629 -21.117735 -11.195118 3.474870 -0.073252 -0.037164 0.926503 -0.367212
1742016796.889148 -21.557035 -11.533021 3.734397 -0.098199 -0.044373 0.915351 -0.387970
1742016797.889325 -21.786171 -11.714426 3.797288 -0.101596 -0.063638 0.925858 -0.358351
1742016798.889511 -22.205847 -12.062343 3.923015 -0.102920 -0.049640 0.928484 -0.353357
1742016799.923012 -22.596373 -12.256301 4.295793 -0.097483 -0.045222 0.949510 -0.294758
1742016800.956528 -22.969147 -12.435189 4.424510 -0.099567 -0.035843 0.917437 -0.383550
1742016801.990026 -23.406723 -12.748502 4.722649 -0.113845 -0.050706 0.913051 -0.388337
1742016802.990187 -23.810303 -13.015390 5.068225 -0.120176 -0.073251 0.898552 -0.415688
1742016804.023683 -24.268448 -13.503666 5.329402 -0.096762 -0.075521 0.913476 -0.387938
1742016805.023819 -24.862644 -13.920337 5.639113 -0.122372 -0.075521 0.911617 -0.385066
1742016806.057340 -25.280088 -14.281738 5.721391 -0.122468 -0.077655 0.923771 -0.354426
1742016807.092221 -25.697908 -14.490751 6.030603 -0.138136 -0.055331 0.904745 -0.399115
