#timestamp x y z qx qy qz qw
1742016755.849736 -0.000337 -0.013597 -0.009785 0.003720 0.871451 -0.490387 0.008960
1742016757.943637 -0.126893 0.010247 0.009376 0.108766 0.842441 -0.526590 -0.034146
1742016759.007386 -0.487964 0.257410 0.020399 0.286411 0.784635 -0.518078 -0.184153
1742016760.036739 -0.864535 0.488526 -0.000570 0.471230 0.678168 -0.469869 -0.311854
1742016761.036909 -1.196283 0.811371 -0.032446 0.513685 0.651801 -0.426691 -0.359469
1742016762.037653 -1.595748 1.009261 -0.078514 0.588489 0.581427 -0.387160 -0.407100
1742016763.072353 -2.058542 1.271551 -0.177016 0.565095 0.609838 -0.391558 -0.394269
1742016764.106852 -2.624972 1.380410 -0.248800 0.458261 0.695815 -0.441347 -0.333244
1742016765.107260 -3.299717 1.241435 -0.304620 0.387843 0.728761 -0.488415 -0.282728
1742016766.141239 -3.954037 0.899732 -0.329259 0.304719 0.767987 -0.510435 -0.238326
1742016767.141610 -4.564178 0.482029 -0.338960 0.259735 0.787876 -0.523231 -0.194983
1742016768.142016 -5.134939 -0.092420 -0.349667 0.252973 0.798060 -0.521357 -0.165206
1742016769.142399 -5.630735 -0.708167 -0.291050 0.199687 0.792357 -0.561248 -0.131515
1742016770.176141 -6.166853 -1.323191 -0.237850 0.194139 0.791525 -0.563340 -0.135814
1742016771.209866 -6.776146 -1.973744 -0.175902 0.208257 0.778249 -0.572717 -0.151498
1742016772.276969 -7.397238 -2.676224 -0.064106 0.288955 0.760479 -0.551213 -0.185313
1742016773.344109 -8.012087 -3.142550 0.080675 0.330801 0.733147 -0.548574 -0.228325
1742016774.377876 -8.722994 -3.517497 0.223178 0.392021 0.690186 -0.537956 -0.283842
1742016775.411641 -9.472375 -3.939068 0.318676 0.388301 0.669256 -0.546118 -0.321050
1742016776.445416 -10.232597 -4.331449 0.351918 0.323890 0.685944 -0.577934 -0.300946
1742016777.479280 -11.111066 -4.674541 0.456706 0.322515 0.688221 -0.576775 -0.299442
1742016778.513090 -12.061774 -5.006144 0.538424 0.335935 0.658692 -0.589144 -0.325857
1742016779.546905 -12.847486 -5.380849 0.760342 0.338737 0.664416 -0.573065 -0.339715
1742016780.580685 -13.671008 -5.755719 0.811994 0.405432 0.636214 -0.544679 -0.366307
1742016781.614465 -14.453608 -6.003480 0.936526 0.394469 0.639018 -0.548935 -0.367044
1742016782.614901 -15.053144 -6.214868 1.160222 0.363024 0.671341 -0.564838 -0.313805
1742016783.648683 -15.811529 -6.525131 1.226133 0.290920 0.712112 -0.583735 -0.259837
1742016784.649118 -16.409027 -6.899115 1.316535 0.313624 0.709900 -0.568189 -0.273575
1742016785.649545 -16.774849 -7.161549 1.594424 0.282591 0.731459 -0.571225 -0.242511
1742016786.683331 -17.420811 -7.665350 1.666722 0.249929 0.729202 -0.592762 -0.233310
1742016787.683771 -17.865452 -8.133999 1.811589 0.261265 0.721790 -0.600565 -0.223790
1742016788.684211 -18.237741 -8.499508 2.103891 0.234219 0.739310 -0.600363 -0.195262
1742016789.684684 -18.632555 -9.037672 2.245714 0.199451 0.728025 -0.622131 -0.207731
1742016790.719815 -19.041561 -9.520504 2.357233 0.194943 0.732457 -0.620708 -0.200564
1742016791.754863 -19.403997 -9.939828 2.538273 0.264779 0.710653 -0.597368 -0.260799
1742016792.755046 -19.728449 -10.297063 2.828248 0.289628 0.717213 -0.585280 -0.243243
1742016793.788565 -20.182610 -10.639832 2.984153 0.258678 0.713623 -0.604967 -0.240505
1742016794.822100 -20.566830 -10.932575 3.324772 0.291986 0.710943 -0.589009 -0.249745
1742016795.855629 -21.117735 -11.195118 3.474870 0.297689 0.702065 -0.591650 -0.261602
1742016796.889148 -21.557035 -11.533021 3.734397 0.290603 0.722947 -0.580374 -0.236777
1742016797.889325 -21.786171 -11.714426 3.797288 0.302733 0.724722 -0.559487 -0.264775
1742016798.889511 -22.205847 -12.062343 3.923015 0.314204 0.717201 -0.564640 -0.260923
1742016799.923012 -22.596373 -12.256301 4.295793 0.353507 0.693487 -0.550781 -0.301245
1742016800.956528 -22.969147 -12.435189 4.424510 0.298806 0.718199 -0.582788 -0.235081
1742016801.990026 -23.406723 -12.748502 4.722649 0.293927 0.732970 -0.568419 -0.230788
1742016802.990187 -23.810303 -13.015390 5.068225 0.264894 0.753834 -0.560406 -0.217969
1742016804.023683 -24.268448 -13.503666 5.329402 0.273389 0.736848 -0.564566 -0.252148
1742016805.023819 -24.862644 -13.920337 5.639113 0.286701 0.747288 -0.549395 -0.239850
1742016806.057340 -25.280088 -14.281738 5.721391 0.307079 0.739160 -0.539037 -0.262266
1742016807.092221 -25.697908 -14.490751 6.030603 0.294217 0.748664 -0.555197 -0.211413
1742016808.126231 -26.314268 -14.955992 6.267879 0.252578 0.722314 -0.591894 -0.253237
1742016809.126643 -26.970186 -15.365993 6.549866 0.257800 0.726915 -0.593151 -0.230881
1742016810.160457 -27.413126 -15.710856 6.636920 0.270943 0.733321 -0.577201 -0.235944
1742016811.194246 -27.820635 -15.970912 6.942617 0.236217 0.727548 -0.594625 -0.247580
1742016812.194692 -28.240816 -16.464867 7.127682 0.230919 0.753063 -0.568280 -0.237970
1742016813.261818 -28.961092 -16.966309 7.229596 0.264202 0.699462 -0.608636 -0.265542
1742016814.295609 -29.455563 -17.340679 7.557671 0.314370 0.716025 -0.558723 -0.276238
