#timestamp x y z qx qy qz qw
1742017696.633190 0.048555 -0.032901 -0.011427 0.176564 0.236509 -0.692629 0.658144
1742017698.757793 -0.060316 0.218158 -0.004228 0.249404 0.183105 -0.808416 0.500733
1742017699.802757 0.032306 0.408542 -0.019365 -0.285646 -0.121626 0.902379 -0.298872
1742017700.824836 0.105359 0.791952 -0.002210 -0.253041 -0.095914 0.949514 -0.158726
1742017701.827922 -0.108263 1.065536 0.018274 -0.219506 -0.034420 0.969845 0.100168
1742017702.893579 0.026843 1.211562 0.041973 -0.190289 -0.003880 0.934431 0.301020
1742017703.925552 0.134619 1.279118 0.049893 -0.184907 0.005159 0.866517 0.463607
1742017704.958185 0.174000 1.220303 0.056581 -0.167314 0.024614 0.827957 0.534685
1742017706.024788 -0.072459 1.238437 0.072986 -0.159645 0.023181 0.761744 0.627473
1742017707.057958 -0.380618 1.477381 0.058274 -0.178130 0.026240 0.657679 0.731464
1742017708.091160 -0.760532 1.714973 0.025459 -0.146925 0.063289 0.516439 0.841248
1742017709.127198 -1.159258 1.956260 -0.017602 -0.147062 0.110530 0.327177 0.926883
1742017710.160366 -1.172563 2.345205 -0.040722 -0.154086 0.121618 0.234272 0.952147
1742017711.226593 -1.366033 2.858125 -0.146855 -0.108932 0.131591 0.019479 0.985108
1742017712.227376 -1.372348 3.309969 -0.239579 -0.095924 0.169357 -0.226062 0.954470
1742017713.293863 -1.037922 3.712338 -0.224560 -0.046131 0.174877 -0.323368 0.928829
1742017714.327009 -1.002012 4.137893 -0.235626 -0.028236 0.170483 -0.388507 0.905097
1742017715.360101 -0.655605 4.494101 -0.279159 -0.051880 0.156499 -0.503515 0.848109
1742017716.460257 -0.172183 4.373873 -0.237602 -0.011595 0.154537 -0.661179 0.734048
1742017717.494837 0.289736 4.490899 -0.215856 0.018172 0.175580 -0.700197 0.691785
1742017718.495539 0.705309 4.231383 -0.204368 0.029721 0.150989 -0.817655 0.554760
1742017719.562360 0.947855 3.845744 -0.136597 -0.048527 -0.152789 0.878256 -0.450518
1742017720.562506 1.220305 3.478676 -0.136048 -0.071090 -0.153997 0.937172 -0.304860
1742017721.596052 1.440045 3.002819 -0.047540 -0.113355 -0.121656 0.958382 -0.232068
1742017722.630509 1.384979 2.652364 0.005292 -0.119456 -0.133000 0.970636 -0.160959
1742017723.665483 1.236129 2.370595 0.058545 -0.136290 -0.076335 0.979655 0.125996
1742017724.699410 1.204289 2.074493 0.094487 -0.171746 -0.027695 0.949548 0.260952
1742017725.700324 0.938048 1.720820 0.082321 -0.176001 -0.017837 0.902289 0.393166
1742017726.700462 0.571824 1.425171 0.066025 -0.172535 0.023421 0.833565 0.524264
1742017727.700619 0.307389 1.196540 0.073560 -0.206398 0.019268 0.767554 0.606539
1742017728.734148 -0.091285 1.307286 0.062244 -0.196682 0.043812 0.703923 0.681094
1742017729.734349 -0.458554 1.491583 0.050515 -0.205837 0.005668 0.762831 0.612933
1742017730.767878 -1.007402 1.739653 0.016572 -0.184953 -0.034936 0.839040 0.510474
1742017731.801414 -1.679553 2.082812 -0.016661 -0.175734 -0.056613 0.899944 0.394985
1742017732.801617 -2.330802 2.496859 -0.083507 -0.161837 -0.064495 0.920938 0.348601
1742017733.835163 -3.007477 2.974580 -0.180547 -0.147164 -0.073906 0.913861 0.371133
1742017734.902068 -3.690516 3.277945 -0.260455 -0.171807 -0.071807 0.881396 0.434128
1742017735.902316 -4.229821 3.214832 -0.264582 -0.176341 -0.021330 0.820370 0.543546
1742017736.969266 -4.794682 3.277912 -0.280822 -0.159302 -0.029282 0.752538 0.638319
1742017737.969649 -5.318180 3.148347 -0.270575 -0.161817 0.018391 0.709774 0.685345
1742017739.004328 -5.814945 3.405820 -0.289956 -0.158831 0.030833 0.598444 0.784657
1742017740.038418 -6.103786 3.816044 -0.291471 -0.141993 0.080092 0.424475 0.890643
1742017741.038827 -6.148298 4.316522 -0.305019 -0.150127 0.079125 0.302374 0.937961
1742017742.039213 -6.159881 4.868625 -0.368528 -0.135564 0.106026 0.155304 0.972760
1742017743.039595 -6.178394 5.330901 -0.348337 -0.106444 0.109332 0.000569 0.988289
1742017744.041915 -6.475283 5.680931 -0.347927 -0.113529 0.141677 -0.092564 0.979015
1742017745.042680 -6.438090 6.097487 -0.362072 -0.098747 0.147575 -0.210508 0.961331
1742017746.042812 -6.137545 6.169511 -0.334796 -0.067075 0.138532 -0.363340 0.918854
1742017747.076319 -5.784443 6.543116 -0.375731 -0.009594 0.166025 -0.492344 0.854366
1742017748.109820 -5.337526 6.640643 -0.365225 0.002314 0.144335 -0.631906 0.761483
1742017749.109991 -4.964699 6.893467 -0.379706 0.020666 0.151659 -0.693792 0.703723
1742017750.143462 -4.534713 6.789475 -0.393576 0.040505 0.167552 -0.802639 0.571014
1742017751.176935 -4.110774 6.493043 -0.360409 -0.042470 -0.147604 0.874326 -0.460395
1742017752.177130 -3.584755 6.332541 -0.369967 -0.091746 -0.141126 0.911273 -0.375829
1742017753.210660 -3.254652 5.895336 -0.345866 -0.090971 -0.123782 0.958351 -0.240759
1742017754.244310 -3.032713 5.396799 -0.305972 -0.101651 -0.109331 0.977348 -0.150017
1742017755.244504 -3.237827 4.999111 -0.292227 -0.117115 -0.139215 0.983152 0.017765
1742017756.311443 -3.196494 4.493225 -0.233246 -0.106495 -0.076633 0.986509 0.097913
1742017757.344986 -3.067921 3.973014 -0.191961 -0.103104 -0.088248 0.977013 0.164404
