#timestamp x y z qx qy qz qw
1743056777.988517 0.000000 0.000000 0.000000 0.017628 -0.126829 0.001121 0.991767
1743056781.222092 0.177236 0.116567 -0.002105 0.005825 -0.082003 -0.022408 0.996363
1743056783.322242 0.316406 0.216666 -0.069995 0.022691 0.006981 -0.038125 0.998991
1743056801.322740 0.206929 0.178960 -0.039731 0.012405 -0.037050 -0.078770 0.996127
1743056802.422859 0.129086 0.171025 -0.032851 0.027373 -0.098998 -0.091572 0.990487
1743056803.489484 0.095848 0.149452 0.001568 0.015990 -0.217667 -0.065094 0.973719
1743056805.723138 0.172327 0.157688 -0.030346 0.017583 -0.105751 -0.057653 0.992564
1743056806.756358 0.230579 0.204924 -0.033453 0.015612 -0.048151 -0.058727 0.996990
1743056807.822987 0.340483 0.207035 -0.082971 0.016686 -0.013878 -0.060475 0.997934
1743056816.356575 0.484003 0.218805 -0.063773 0.017947 0.013180 -0.065488 0.997605
1743056817.456865 0.745947 0.180054 -0.069075 0.018055 0.013652 -0.063194 0.997745
1743056818.490348 0.968482 0.195139 -0.071962 0.017798 0.012741 -0.059609 0.997982
1743056819.523641 1.108992 0.229997 -0.054093 0.016760 0.013264 -0.054380 0.998292
1743056822.690364 1.246944 0.252567 -0.043680 0.015613 0.011819 -0.045722 0.998762
1743056823.723730 1.410726 0.268710 -0.091565 0.027941 0.015480 -0.035275 0.998867
1743056824.757110 1.894516 0.460371 -0.092570 0.017292 0.028175 -0.001468 0.999452
1743056825.823870 2.606220 0.845873 -0.094079 0.014149 0.026206 0.075645 0.996690
1743056826.857248 3.361721 1.483993 -0.065358 0.008841 0.025462 0.172930 0.984565
1743056827.890617 4.148878 2.489324 -0.008209 0.023632 0.019256 0.303521 0.952337
1743056828.924035 4.722423 3.941214 -0.017852 0.016290 0.007770 0.438683 0.898460
1743056829.990497 4.962699 5.978782 0.050333 0.015761 0.007892 0.569290 0.821948
1743056830.990744 5.108546 8.370815 0.133436 0.014338 0.008374 0.637812 0.770013
1743056832.057225 5.310690 11.420330 0.247130 0.017431 0.008998 0.657652 0.753067
1743056833.090638 5.586772 14.767328 0.368741 0.017943 0.009782 0.656997 0.753616
1743056834.090858 5.788683 18.150356 0.484716 0.018167 0.006976 0.664166 0.747332
1743056835.157345 6.044695 21.838856 0.594024 0.016053 0.003849 0.660820 0.750363
1743056836.190719 6.357076 25.603727 0.697796 0.009981 0.006102 0.653984 0.756418
1743056837.257586 6.840083 29.465612 0.866002 0.010310 0.006401 0.655542 0.755062
1743056838.324381 7.397895 33.628365 1.006495 0.011659 0.013640 0.658804 0.752101
1743056839.357607 7.618131 37.910328 1.150663 0.005989 0.014284 0.662035 0.749313
1743056840.390970 7.892951 42.347645 1.323035 0.001688 0.013218 0.669080 0.743071
1743056841.457749 8.157237 47.327908 1.336578 -0.001531 0.011740 0.669974 0.742290
