#timestamp x y z qx qy qz qw
1741749645.677145 0.000000 0.000000 -0.000000 -0.017646 -0.020018 -0.082400 0.996242
1741749646.728910 0.027018 0.124923 -0.012963 -0.001411 -0.013093 0.033119 0.999365
1741749650.852107 -0.004263 0.062933 -0.018696 -0.015601 0.001190 -0.023698 0.999597
1741749658.163976 0.024763 0.110459 -0.025169 -0.000672 0.002813 0.048548 0.998817
1741749659.282338 0.031672 0.072715 -0.021363 -0.002832 -0.006883 -0.010073 0.999922
1741749662.387130 0.023631 0.038826 -0.026833 -0.000728 0.008358 -0.103138 0.994632
1741749663.623019 0.002616 -0.066371 -0.008218 -0.013376 0.027800 -0.175861 0.983932
1741749665.859433 -0.000483 -0.008072 -0.019435 -0.009901 0.009918 -0.068075 0.997582
1741749668.980999 0.026550 0.088814 -0.030818 -0.057450 -0.059520 0.057036 0.994939
1741749669.999421 -0.019893 0.024276 0.036332 -0.041909 -0.125923 -0.005099 0.991141
1741749671.084245 0.003005 0.047501 -0.005247 0.017114 -0.053464 0.020574 0.998211
1741749674.022227 -0.038340 -0.020820 0.064979 -0.046390 -0.115013 -0.078391 0.989179
1741749675.040431 -0.009874 -0.048926 0.035193 -0.047652 -0.055205 -0.111144 0.991125
1741749679.564055 -0.009814 -0.078156 0.047231 -0.021073 -0.044336 -0.166971 0.984739
1741749681.066477 -0.041886 -0.143936 0.052015 -0.000934 -0.042361 -0.234127 0.971282
1741749682.067928 -0.016505 0.097358 0.033818 -0.077213 -0.129019 -0.038543 0.987880
1741749683.136343 -0.039745 0.167366 0.010677 -0.122132 -0.162130 0.032283 0.978650
1741749684.154502 0.005116 0.166648 -0.006972 -0.133074 -0.091818 0.025788 0.986507
1741749692.233534 0.019035 0.165886 -0.031906 -0.128296 -0.037674 0.057348 0.989359
1741749705.486954 -0.000128 0.153745 0.003191 -0.127138 -0.093284 0.058795 0.985737
1741749708.675004 0.015035 0.149188 -0.029602 -0.133126 -0.027335 0.047643 0.989576
1741749730.023430 0.045227 0.194779 -0.044318 -0.132652 0.008849 0.103727 0.985680
1741749733.244901 0.041912 0.136346 -0.038549 -0.140233 0.024872 0.016275 0.989672
1741749734.246259 0.026275 -0.089303 0.038743 -0.095095 -0.018759 -0.161015 0.982181
1741749735.398122 0.072031 0.001637 -0.002725 -0.035668 -0.017746 -0.047058 0.998097
1741749736.716679 0.033814 -0.032241 -0.001560 -0.076715 -0.046305 -0.135807 0.986675
1741749737.801541 -0.276732 -0.223932 0.030026 -0.118005 0.041691 -0.574677 0.808754
1741749738.853152 -0.419320 -0.378542 0.058449 -0.097914 0.044515 -0.605021 0.788911
1741749739.921419 -0.387824 -0.583358 0.044342 -0.106167 0.075110 -0.658179 0.741544
1741749740.956262 -0.074009 -0.662531 0.088811 -0.103044 -0.045623 -0.257780 0.959609
1741749741.991193 -0.076925 -0.409911 0.046223 -0.037480 -0.082255 0.078745 0.992788
1741749742.992609 -0.158830 -0.338378 0.050232 -0.091159 -0.070231 0.028367 0.992952
1741749747.131909 -0.179110 -0.259694 0.032046 -0.093521 -0.160897 0.116306 0.975622
1741749748.133397 -0.184772 -0.293955 0.041914 -0.072397 -0.146811 0.021980 0.986267
1741749751.271352 -0.185445 -0.360355 0.029693 -0.092333 -0.076943 0.018778 0.992573
1741749758.782376 -0.152711 -0.363871 0.030195 -0.071017 -0.027989 -0.016393 0.996948
