#timestamp x y z qx qy qz qw
1748403662.519894 -0.000000 -0.000000 0.000000 0.017671 0.009015 0.001077 0.999803
1748403750.359781 0.145661 -0.079350 0.305470 0.011439 0.002454 0.026723 0.999574
1748403751.393079 0.399722 -0.254883 0.983795 0.009036 -0.007575 0.030550 0.999464
1748403752.493152 0.588774 -0.416666 1.367963 -0.002153 -0.023490 0.054945 0.998211
1748403753.726271 0.776714 -0.695449 1.510566 0.026366 0.000944 0.061840 0.997737
1748403754.759982 1.350086 -1.257008 1.494844 0.004925 -0.003029 0.068889 0.997608
1748403756.193399 1.720456 -1.653740 1.461781 -0.038100 -0.061838 0.144925 0.986773
1748403757.360077 1.201579 -1.669356 1.421071 0.071222 0.061206 0.096480 0.990895
1748403758.626902 1.126911 -2.310634 1.376535 0.039678 -0.035103 0.093759 0.994184
1748403759.760377 0.937413 -3.728345 1.502586 0.034302 -0.016779 0.099901 0.994264
1748403760.860373 0.861872 -5.563075 1.759928 0.012396 0.009163 0.094671 0.995389
1748403761.894453 1.088822 -7.098866 1.736946 -0.065587 -0.024204 0.076704 0.994600
1748403763.060420 1.003626 -7.672646 1.627280 -0.048751 -0.005583 0.054814 0.997290
1748403764.293970 0.914536 -7.818138 1.593288 -0.058804 0.001115 0.056628 0.996661
1748403765.393990 0.886645 -6.917595 1.607603 -0.040330 0.010956 0.064004 0.997074
1748403766.660770 0.956795 -5.030881 1.703414 0.000492 0.012260 0.056782 0.998311
1748403767.760827 1.325965 -3.412799 1.788513 0.003580 0.012397 0.040736 0.999087
1748403768.894163 1.975632 -2.134032 1.777133 0.009910 0.011734 0.056130 0.998305
1748403770.027684 2.595030 -0.997853 1.727251 0.006228 -0.015347 0.049337 0.998645
1748403771.094643 2.591249 -0.265232 1.525925 0.028098 -0.084638 0.044270 0.995031
1748403772.261275 1.497399 -0.243368 1.296221 0.034179 0.007083 0.058957 0.997650
1748403773.294344 0.826192 -0.581838 1.130325 0.011649 0.007839 0.037279 0.999206
1748403774.327729 0.309919 -0.720960 0.925984 -0.005154 0.005680 0.046561 0.998886
1748403775.528322 -0.160230 -0.641779 0.767917 0.011626 0.009394 0.051210 0.998576
1748403776.861410 -0.217145 -0.484550 0.545321 0.015609 0.029241 0.060794 0.997600
1748403777.927865 -0.069384 -0.284754 0.293399 0.031249 0.006416 0.039217 0.998721
1748403778.961343 -0.145740 -0.199811 0.135734 0.020114 0.036062 0.047105 0.998036
1748403780.294793 0.143359 -0.182729 0.188020 0.011179 -0.024860 0.040001 0.998828
1748403782.528614 0.029612 -0.097240 0.160757 0.041361 0.003314 0.059638 0.997357
1748403784.095001 0.082523 -0.266794 -0.044963 0.021432 0.009625 0.063293 0.997718
1748403785.195253 0.080613 -0.264536 -0.042799 0.022272 0.011604 0.063475 0.997667
1748403794.728900 0.072553 -0.124116 0.036692 0.037331 0.001297 0.056013 0.997731
1748403796.895717 0.036896 -0.010390 -0.020270 0.009834 0.011186 0.011953 0.999818
